jdb	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60
57414.672604	-0.32840	0.00050	7.02844	53.400	-0.02807	0.00035	0.150486	0.000484	-5.0694	0.0033	49.60	90.80	217.20	222.50
57414.766325	-0.32923	0.00047	7.02930	53.384	-0.02644	0.00031	0.150872	0.000394	-5.0668	0.0027	58.40	107.60	247.00	244.10
57414.770086	-0.32791	0.00046	7.02992	53.390	-0.02773	0.00030	0.150760	0.000386	-5.0676	0.0026	59.50	109.60	249.70	245.80
57414.773814	-0.32774	0.00048	7.02733	53.403	-0.02532	0.00032	0.151158	0.000426	-5.0649	0.0029	54.90	102.00	233.70	231.20
57432.719955	-0.32794	0.00062	7.02912	53.423	-0.02651	0.00051	0.151912	0.000795	-5.0598	0.0053	34.30	61.50	151.10	164.80
57432.725534	-0.32789	0.00052	7.03034	53.397	-0.02812	0.00039	0.151824	0.000516	-5.0604	0.0034	47.50	82.00	201.00	220.20
57432.729296	-0.32834	0.00051	7.02916	53.398	-0.02977	0.00037	0.151052	0.000490	-5.0656	0.0033	49.50	84.20	208.20	231.30
57432.779437	-0.32677	0.00047	7.03103	53.391	-0.02838	0.00031	0.151936	0.000392	-5.0597	0.0026	59.10	102.10	245.20	261.70
57432.783210	-0.32809	0.00048	7.02973	53.396	-0.02676	0.00033	0.151982	0.000417	-5.0594	0.0028	56.30	98.00	234.70	248.90
57432.786983	-0.32872	0.00047	7.02991	53.389	-0.02617	0.00031	0.151605	0.000386	-5.0619	0.0026	59.80	103.20	249.00	266.00
57433.734181	-0.32740	0.00056	7.02925	53.409	-0.02536	0.00044	0.150528	0.000621	-5.0692	0.0042	40.90	75.60	174.00	177.20
57433.738012	-0.33028	0.00082	7.03062	53.417	-0.02661	0.00067	0.150001	0.001155	-5.0728	0.0079	26.00	49.60	115.90	118.20
57435.799506	-0.32757	0.00094	7.03145	53.351	-0.02415	0.00087	0.150111	0.001780	-5.0720	0.0122	19.20	36.40	91.50	100.90
57435.803268	-0.32857	0.00091	7.02572	53.272	-0.02674	0.00084	0.150860	0.001655	-5.0669	0.0112	20.20	37.60	94.70	106.30
57435.806984	-0.32593	0.00082	7.01459	52.993	-0.02768	0.00074	0.155488	0.001332	-5.0366	0.0084	23.80	42.20	107.30	125.30
57436.698806	-0.33238	0.00086	7.03107	53.418	-0.02952	0.00078	0.151007	0.001561	-5.0659	0.0106	21.10	42.10	99.00	98.30
57458.621707	-0.32687	0.00047	7.02929	53.379	-0.02683	0.00031	0.149750	0.000402	-5.0745	0.0028	57.30	112.30	234.60	209.20
57458.627043	-0.32658	0.00048	7.02941	53.387	-0.02662	0.00032	0.150180	0.000422	-5.0715	0.0029	55.20	107.40	224.30	201.60
57458.706674	-0.32683	0.00048	7.03055	53.383	-0.02695	0.00032	0.149521	0.000417	-5.0761	0.0029	55.60	107.20	226.40	205.80
57458.712137	-0.32734	0.00048	7.02914	53.388	-0.02686	0.00033	0.150366	0.000443	-5.0703	0.0030	53.10	102.50	219.00	201.50
57460.733448	-0.32588	0.00049	7.02749	53.389	-0.02687	0.00035	0.148131	0.000463	-5.0858	0.0033	50.80	102.20	192.70	165.70
57460.738818	-0.32463	0.00048	7.03083	53.368	-0.02549	0.00033	0.148399	0.000433	-5.0839	0.0031	53.60	107.90	200.60	172.20
57461.731074	-0.32642	0.00049	7.03009	53.389	-0.02673	0.00034	0.149832	0.000442	-5.0739	0.0030	53.20	101.50	212.80	190.70
57461.734998	-0.32709	0.00047	7.02913	53.389	-0.02846	0.00031	0.149426	0.000398	-5.0767	0.0028	58.00	109.30	232.80	211.90
57461.738621	-0.32686	0.00044	7.03077	53.372	-0.02829	0.00027	0.149677	0.000322	-5.0750	0.0022	69.10	130.00	274.20	245.00
57462.767775	-0.32878	0.00049	7.03139	53.379	-0.02752	0.00033	0.149953	0.000441	-5.0731	0.0030	53.30	103.00	216.20	194.00
57462.771548	-0.32809	0.00049	7.03210	53.368	-0.02638	0.00034	0.149646	0.000456	-5.0752	0.0032	51.90	100.80	210.10	187.70
57462.775333	-0.32719	0.00049	7.03171	53.382	-0.02748	0.00034	0.150457	0.000456	-5.0696	0.0031	51.90	101.50	208.00	183.30
57463.544817	-0.32623	0.00044	7.03241	53.371	-0.02756	0.00026	0.151599	0.000320	-5.0619	0.0021	70.40	124.60	290.40	291.80
57463.550326	-0.32569	0.00043	7.03073	53.372	-0.02675	0.00025	0.151539	0.000295	-5.0623	0.0020	75.30	133.70	306.70	304.40
57463.771488	-0.32362	0.00048	7.03117	53.393	-0.02691	0.00032	0.152424	0.000406	-5.0564	0.0027	58.20	97.70	239.50	265.30
57463.777495	-0.32448	0.00050	7.03140	53.389	-0.02536	0.00036	0.151895	0.000476	-5.0599	0.0032	51.20	87.50	214.50	236.60
57495.582973	-0.32869	0.00063	7.02802	53.416	-0.02504	0.00052	0.148468	0.000804	-5.0834	0.0057	33.50	65.30	137.70	123.10
57495.585577	-0.32661	0.00064	7.03031	53.414	-0.02860	0.00053	0.147865	0.000851	-5.0877	0.0060	32.10	63.30	132.60	118.30
57495.588239	-0.32824	0.00061	7.02849	53.412	-0.02691	0.00049	0.147781	0.000758	-5.0883	0.0054	34.90	69.00	139.40	121.40
57495.590786	-0.32693	0.00066	7.02891	53.407	-0.02589	0.00056	0.148792	0.000913	-5.0811	0.0064	30.60	60.20	126.80	114.00
57495.593436	-0.32800	0.00074	7.02707	53.438	-0.02684	0.00064	0.146746	0.001134	-5.0957	0.0082	26.30	51.80	112.40	103.20
57498.591773	-0.32878	0.00069	7.02811	53.432	-0.02642	0.00059	0.148710	0.001001	-5.0817	0.0070	28.90	53.50	127.10	130.40
57498.595488	-0.32890	0.00061	7.02647	53.425	-0.02388	0.00049	0.148363	0.000742	-5.0842	0.0052	35.80	65.20	153.80	156.20
57498.599227	-0.32883	0.00063	7.03135	53.406	-0.02475	0.00052	0.149802	0.000815	-5.0741	0.0056	33.50	61.30	145.20	148.20
57498.683890	-0.32831	0.00056	7.02857	53.406	-0.02618	0.00043	0.149477	0.000628	-5.0764	0.0043	40.70	73.20	173.40	176.70
57498.687640	-0.32805	0.00054	7.02934	53.404	-0.02643	0.00040	0.149859	0.000560	-5.0737	0.0039	44.50	79.00	187.90	192.50
57498.691135	-0.32807	0.00058	7.02877	53.413	-0.02674	0.00045	0.148914	0.000664	-5.0803	0.0046	39.00	69.80	167.00	172.10
57499.573771	-0.32548	0.00058	7.02949	53.382	-0.02562	0.00045	0.147887	0.000668	-5.0875	0.0047	38.60	72.50	160.20	152.40
57499.577336	-0.32516	0.00058	7.02871	53.404	-0.02510	0.00044	0.147469	0.000652	-5.0905	0.0047	39.20	73.40	164.10	157.30
57499.581144	-0.32582	0.00060	7.03109	53.392	-0.02754	0.00048	0.148777	0.000725	-5.0813	0.0051	36.30	68.00	154.00	149.10
57499.734579	-0.32815	0.00049	7.02914	53.378	-0.02456	0.00033	0.148222	0.000446	-5.0852	0.0032	52.50	100.00	216.10	191.30
57499.738329	-0.32745	0.00050	7.03017	53.383	-0.02704	0.00035	0.147668	0.000473	-5.0891	0.0034	50.10	95.20	208.70	187.30
57499.741986	-0.32686	0.00052	7.02944	53.378	-0.02570	0.00037	0.148077	0.000520	-5.0862	0.0037	46.50	88.50	195.40	176.80
57502.485836	-0.32740	0.00061	7.02666	53.405	-0.02428	0.00038	0.147148	0.000547	-5.0928	0.0039	44.60	86.00	186.60	168.60
57502.489598	-0.32712	0.00061	7.02622	53.402	-0.02435	0.00037	0.147442	0.000525	-5.0907	0.0038	46.10	88.00	193.10	176.60
57502.493313	-0.32577	0.00051	7.02919	53.386	-0.02559	0.00036	0.147518	0.000497	-5.0902	0.0036	48.20	91.70	200.70	183.30
